Day,Date,UTC,PST,Lat,Long,geopoint_test:Accuracy,select_country,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,,select_previous,select_photo,select_whaleinfo,ecotype,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,Comments,initials
Tue,7-Jul,20:26:26,13:26:26,48.48681,-123.1199417,1,USA,Luna,Mariana,PM,F,,fishing_within100yds fishing_within200yds,fishing within100yds,contact_no,photo_y,whaleinfo_n,SRKW,J pod,behavior_n,,wwf_n,,,,Emv
,,,,,,,,,,,,,,fishing within200yds,,,,,,,,,,,,
Tue,7-Jul,23:26:02,16:26:02,48.57113167,-123.1787283,0.9,USA,Luna,Mariana,PM,T,,high_speed_within_1km 200_yards_under_power 300_yards_under_power,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_y,Split,wwf_n,,,,Emv
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
Tue,7-Jul,21:47:54,14:47:54,48.49358,-123.1381683,0.8,USA,Luna,Mariana,PM,T,,high_speed_within_1km 200_yards_under_power 300_yards_under_power 400yd_inthepath Fast_withinquartermile_whales incorrectfast_approach fast_departurewithin400yds withineighthmile_shore,high speed within 1km,contact_no,photo_y,whaleinfo_n,SRKW,J pod,behavior_unk,,wwf_n,1,kayakwwf_n,Vessel name Starcraft,Emv
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
,,,,,,,,,,,,,,withineighthmile shore,,,,,,,,,,,,
Tue,7-Jul,19:48:26,12:48:26,48.49195667,-123.1287783,1,USA,Luna,Mariana,PM,T,,high_speed_within_1km incorrectfast_approach,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,1,,,Emv
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
Tue,7-Jul,20:57:57,13:57:57,48.49188333,-123.1254483,0.9,USA,Luna,Mariana,PM,T,,incorrectfast_approach,incorrectfast approach,contact_no,photo_y,whaleinfo_n,SRKW,J pod,behavior_n,,wwf_n,1,kayakwwf_n,,Emv
Tue,7-Jul,21:12:20,14:12:20,48.48801167,-123.1254533,0.8,USA,Luna,Mariana,PM,T,,inshore_of_whales 300_yards_under_power 400yd_inthepath 100_yards_under_power withineighthmile_shore,inshore of whales,contact_no,photo_y,whaleinfo_n,SRKW,J pod,behavior_y,Switched directions,wwf_n,1,,,Emv
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,100 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,withineighthmile shore,,,,,,,,,,,,
